feature,coefficient
refi_incentive,-2.5972648919746772
upb_x_incentive,1.7240402227758438
fico_x_incentive,0.9939006592556799
burnout_months,-0.5908072740815514
burnout_factor,-0.5891165526636576
current_ltv,-0.29435328754883094
state_VI,-0.17970302501898333
ltv,0.16375114640108343
state_CA,-0.14775204745225806
refi_incentive_sigmoid,0.1383999509500939
state_TX,-0.11591196134398772
state_NY,-0.11402263387415683
age_m,-0.11359288370592417
purpose_R,-0.1050792521688809
state_GU,-0.10398510583310913
rate_ratio,0.10082917549367358
state_PA,-0.09123849067925147
purpose_P,-0.08290451612586719
state_MA,-0.07577941592796274
state_WA,-0.07415321996863701
state_MN,-0.07356912586198551
state_MD,-0.06999765563739466
state_NJ,-0.06505776139970537
state_OR,-0.06434134846612961
ltv_bin,-0.06380770334391615
log_orig_upb,0.06333349471581724
state_DC,-0.061088176373123554
rate_ratio_bin,-0.06082325872033064
state_FL,-0.059842098993762756
state_UT,-0.05791033810144618
state_PR,-0.051841659093349764
state_IL,-0.05038980767749638
state_GA,-0.046270828731402494
state_CO,-0.04335863808613926
age_x_incentive,-0.042488488712191116
state_OH,-0.04230328854525258
state_NC,-0.04151855673808835
season_sin,0.03631141254084609
state_WI,-0.03480789350116257
state_MT,-0.034688653613901194
state_ID,-0.03417245781850558
state_AZ,-0.0328501587374329
state_VA,-0.031128822573018234
state_IN,-0.029248873274658655
state_CT,-0.028887424382652037
fico,0.02815408057548962
state_NV,-0.026107837359800472
state_LA,-0.02579099101479237
state_MO,-0.024648623406088848
seasoning_ramp,-0.024141405792158812
state_IA,-0.023873584856379526
channel_R,0.023746062344132707
state_RI,-0.023727569483694595
state_AL,-0.02367547864202272
channel_C,-0.02311296416021015
state_SD,-0.022919376592143798
state_MI,-0.02241241253705598
state_KY,-0.020088925978244212
state_ME,-0.019612530411279378
dti,-0.01952714281459826
state_DE,-0.019329970701842062
state_VT,-0.018657265664577607
state_NE,-0.014894778957878543
state_AR,0.01210269539728402
state_WY,0.011933423099922777
state_MS,-0.007716597894109776
state_NH,-0.007644126247787658
is_summer,-0.006827892880747617
state_WV,-0.005441887293715318
state_KS,-0.005330786690544856
state_NM,-0.004657737775141277
state_OK,0.0034493443506954063
state_ND,0.0024743057978374072
season_cos,-0.001629431654785485
state_SC,-0.0012752900029520662
state_TN,-0.0005595745428224735
state_HI,0.000120813550067244
