feature,importance
purpose_P,0.028742652
orig_rate,0.028687181
purpose_C,0.028277323
ltv,0.023113647
state_NY,0.022625873
age_m,0.021713354
season_cos,0.019447455
state_CA,0.01863985
state_CO,0.018480293
state_IN,0.01839864
state_UT,0.018253196
state_MI,0.017942004
state_FL,0.017787509
state_TX,0.017703854
state_TN,0.017607646
state_NC,0.017606806
fico,0.017518325
state_OR,0.017206235
state_AL,0.017137311
state_MO,0.017102787
dti,0.016896622
state_AZ,0.016831066
season_sin,0.016718442
state_KS,0.016562788
channel_R,0.01656268
channel_B,0.016534418
purpose_R,0.01641576
state_GA,0.016236192
state_OH,0.016235337
state_MN,0.016139887
state_WA,0.015824601
state_NH,0.015670275
state_NJ,0.01556338
state_PA,0.015563258
state_HI,0.015341382
state_IL,0.015335769
state_KY,0.015288913
state_MA,0.015060992
state_NE,0.014882475
state_MS,0.014773874
state_VA,0.0147218965
state_MD,0.014536682
state_IA,0.014499573
state_NV,0.014390537
state_WI,0.014095838
state_LA,0.0140402885
state_SC,0.013795339
channel_C,0.013560026
state_WY,0.013387833
state_NM,0.0129732005
state_SD,0.012391377
state_AR,0.012118615
state_ID,0.011182627
state_OK,0.010599019
state_DE,0.010534955
state_ND,0.009919467
orig_term,0.0098550245
state_ME,0.009510245
state_PR,0.008833141
state_DC,0.008709951
state_CT,0.007782427
state_MT,0.007401343
state_RI,0.00574205
state_VT,0.005090687
state_WV,0.004622607
state_AK,0.0032751423
state_GU,0.0
state_VI,0.0
